farm_id,crop_type,fertilizer_usage_kg_per_ha,fuel_consumption_liters_per_ha,water_consumption_m3_per_ha,electricity_consumption_kwh_per_ha,fertilizer_emissions_kg_co2e,fuel_emissions_kg_co2e,electricity_emissions_kg_co2e,irrigation_energy_emissions_kg_co2e,carbon_footprint_kg_co2e_per_ha
FARM-00045,Sugarcane,200.31,75.42,15680.29,401.51,724.6357328571429,202.12560000000002,200.755,1176.02175,2303.5380828571433
FARM-00046,Soybean,44.07,61.99,3574.36,238.99,159.42637285714287,166.13320000000002,119.495,268.077,713.1315728571428
FARM-00047,Cotton,148.4,57.8,8318.36,305.61,536.8476,154.904,152.805,623.8770000000001,1468.4336000000003
FARM-00048,Soybean,41.97,50.4,3146.29,278.48,151.82947285714286,135.072,139.24,235.97175,662.1132228571428
FARM-00049,Wheat,139.03,44.2,3523.83,203.82,502.9509557142858,118.45600000000002,101.91,264.28725,987.6042057142857
FARM-00050,Rice,160.28,95.91,9634.9,467.08,579.8243485714286,257.0388,233.54,722.6175,1793.0206485714284
FARM-00051,Rice,170.73,90.18,10557.14,446.07,617.62797,241.68240000000003,223.035,791.7855,1874.13087
FARM-00052,Rice,136.99,85.48,9678.6,546.74,495.5711100000001,229.08640000000003,273.37,725.895,1723.92251
FARM-00053,Rice,127.33,83.39,11150.51,500.71,460.62537000000003,223.48520000000002,250.355,836.28825,1770.75382
FARM-00054,Soybean,54.14,,3501.86,249.35,195.8553171428572,,124.675,262.6395,
FARM-00055,Soybean,45.09,51.72,3922.61,264.58,163.11629571428574,138.6096,132.29,294.19575,728.2116457142857
FARM-00056,Sugarcane,243.73,100.55,17249.23,561.22,881.7106842857144,269.474,280.61,1293.6922499999998,2725.4869342857146
FARM-00057,Soybean,41.11,60.22,4951.5,334.41,148.71836142857143,161.3896,167.205,371.3625,848.6754614285715
FARM-00058,Soybean,36.13,67.58,4705.74,320.07,130.70285571428573,181.11440000000002,160.035,352.9305,824.7827557142857
FARM-00059,Wheat,128.89,53.13,4038.27,233.43,466.2687814285714,142.38840000000002,116.715,302.87025,1028.2424314285715
FARM-00060,Sugarcane,196.04,103.73,17163.2,544.24,709.1887028571429,277.99640000000005,272.12,1287.24,2546.5451028571433
FARM-00061,Sugarcane,219.89,,17429.46,355.25,795.4677814285715,,177.625,1307.2095,
FARM-00062,Maize,493.02829066311904,92.88,4914.14,386.55,1783.5650577803092,248.9184,193.275,368.5605,2594.318957780309
FARM-00063,Cotton,124.15,53.68,7889.62,197.94,449.12149285714287,143.8624,98.97,591.7215,1283.675392857143
FARM-00064,Sugarcane,200.92,87.75,15146.52,615.55,726.8424514285714,235.17000000000002,307.775,1135.989,2405.7764514285714
FARM-00065,Wheat,120.96,49.07,4399.58,214.86,437.58144000000004,131.5076,107.43,329.9685,1006.4875400000001
FARM-00066,Soybean,46.94,39.7,3645.58,164.73,169.8088028571429,106.39600000000002,82.365,273.4185,631.9883028571429
FARM-00067,Soybean,31.33,50.07,4630.36,276.58,113.33851285714286,134.1876,138.29,347.277,733.0931128571428
FARM-00068,Soybean,35.61,73.71,3742.33,231.19,128.8217185714286,197.5428,115.595,280.67474999999996,722.6342685714285
FARM-00069,Wheat,130.09,50.43,3479.64,175.24,470.60986714285724,135.1524,87.62,260.97299999999996,954.3552671428572
FARM-00070,Rice,154.19,54.02,11572.85,365.25,557.7933385714286,144.77360000000002,182.625,867.96375,1753.1556885714285
FARM-00071,Soybean,46.26,57.5,,223.37,167.34885428571428,154.10000000000002,111.685,,
FARM-00072,Sugarcane,210.1,111.31,17483.57,485.52,760.0517571428571,298.31080000000003,242.76,1311.26775,2612.390307142857
FARM-00073,Maize,193.62,62.32,5120.71,327.75,700.43418,167.01760000000002,163.875,384.05325,1415.3800299999998
FARM-00074,Maize,170.02,78.05,5698.23,410.69,615.0594942857143,209.174,205.345,427.36724999999996,1456.9457442857142
FARM-00075,Sugarcane,189.99,139.87,17315.46,782.68,687.3023957142858,374.8516,391.34,1298.6595,2752.153495714286
FARM-00076,Wheat,123.74,55.5,3920.47,281.99,447.6382885714286,148.74,140.995,294.03524999999996,1031.4085385714286
FARM-00077,Rice,140.64,75.42,8987.8,485.86,508.7752457142858,202.12560000000002,242.93,674.0849999999999,1627.9158457142858
FARM-00078,Rice,156.75,52.56,10382.23,298.36,567.0543214285715,140.8608,149.18,778.66725,1635.7623714285714
FARM-00079,Maize,187.19,60.32,5251.05,272.51,677.1731957142857,161.6576,136.255,393.82875,1368.9145457142859
FARM-00080,Rice,143.79,63.99,10548.31,367.64,520.1705957142857,171.4932,183.82,791.12325,1666.6070457142855
FARM-00081,Sugarcane,213.54,87.34,18913.62,470.23,772.4962028571429,234.07120000000003,235.115,1418.5214999999998,2660.2039028571426
FARM-00082,Sugarcane,184.97,69.72,15993.12,549.48,669.1421871428572,186.8496,274.74,1199.484,2330.215787142857
FARM-00083,Sugarcane,231.96,80.47,17314.36,507.5,839.1318685714286,215.6596,253.75,1298.577,2607.118468571429
FARM-00084,Rice,153.03,89.82,10398.82,438.7,553.5969557142857,240.7176,219.35,779.9114999999999,1793.5760557142858
FARM-00085,Rice,167.07,99.95,9718.77,579.64,604.3876585714286,267.86600000000004,289.82,728.90775,1890.9814085714283
FARM-00086,Cotton,146.59,74.56,,392.63,530.2997957142858,199.82080000000002,196.315,,
FARM-00087,Rice,135.96,94.37,9933.88,,491.8450114285715,252.91160000000002,,745.0409999999999,
FARM-00088,Soybean,48.77,68.71,3545.01,209.17,176.4289585714286,184.1428,104.585,265.87575,731.0325085714286
FARM-00089,Soybean,46.0,45.06,4462.1,206.05,166.4082857142857,120.76080000000002,103.025,334.6575,724.8515857142858
FARM-00090,Maize,177.69,59.17,5083.74,238.11,642.8062671428572,158.5756,119.055,381.28049999999996,1301.7173671428573
FARM-00091,Maize,198.39,83.46,4900.08,292.41,717.6899957142857,223.6728,146.205,367.506,1455.0737957142856
FARM-00092,Maize,208.95,56.55,4667.6,298.03,755.89155,151.554,149.015,350.07,1406.53055
FARM-00093,Cotton,149.77,74.0,7168.55,383.56,541.8036728571429,198.32000000000002,191.78,537.64125,1469.5449228571429
FARM-00094,Rice,141.9,72.64,8648.54,531.89,513.3333857142857,194.67520000000002,265.945,648.6405000000001,1622.594085714286
FARM-00095,Rice,176.91,83.11,10697.06,410.39,639.9845614285716,222.7348,205.195,802.2795,1870.1938614285714
FARM-00096,Sugarcane,222.45,331.1774357642411,16629.91,435.38,804.7287642857143,887.5555278481663,217.69,1247.24325,3157.2175421338807
FARM-00097,Wheat,139.42,46.77,3565.44,223.72,504.3618085714286,125.34360000000001,111.86,267.408,1008.9734085714286
FARM-00098,Wheat,114.18,54.64,3969.01,237.32,413.05430571428576,146.4352,118.66,297.67575,975.8252557142857
FARM-00099,Rice,147.22,63.05,10577.54,,532.5788657142857,168.974,,793.3155,
FARM-00100,Rice,166.13,97.92,10063.85,499.75,600.9871414285715,262.42560000000003,249.875,754.78875,1868.0764914285714
FARM-00101,Maize,191.89,73.83,4368.8,331.25,694.1757814285716,197.86440000000002,165.625,327.66,1385.3251814285716
FARM-00102,Wheat,136.19,43.36,3648.08,169.35,492.67705285714294,116.2048,84.675,273.606,967.1628528571429
FARM-00103,Cotton,145.0,82.73,7804.87,436.9,524.5478571428572,221.71640000000002,218.45,585.36525,1550.079507142857
FARM-00104,Soybean,40.58,65.22,4032.21,294.73,146.80104857142857,174.7896,147.365,302.41575,771.3713985714286
FARM-00105,Wheat,129.84,51.27,3985.87,161.41,469.70547428571433,137.4036,80.705,298.94025,986.7543242857143
FARM-00106,Sugarcane,220.51,112.68,17308.56,698.45,797.7106757142858,301.98240000000004,349.225,1298.142,2747.0600757142856
FARM-00107,Maize,180.31,44.24,4707.12,221.21,652.2843042857144,118.56320000000001,110.605,353.034,1234.4865042857145
FARM-00108,Soybean,49.81,54.0,3107.81,198.08,180.1912328571429,144.72,99.04,233.08575,657.0369828571429
FARM-00109,Wheat,106.88,54.1,4219.77,235.11,386.64603428571434,144.988,117.555,316.48275,965.6717842857144
FARM-00110,Maize,,55.97,4676.12,334.9,,149.99960000000002,167.45,350.709,
FARM-00111,Maize,189.37,64.67,5184.62,273.87,685.0595014285715,173.31560000000002,136.935,388.8465,1384.1566014285713
FARM-00112,Cotton,139.74,62.3,7071.68,335.42,505.51943142857147,166.964,167.71,530.376,1370.5694314285715
FARM-00113,Maize,182.4,62.31,5188.49,343.32,659.8450285714287,166.9908,171.66,389.13674999999995,1387.6325785714287
FARM-00114,Soybean,45.02,49.2,4406.07,205.85,162.8630657142857,131.85600000000002,102.925,330.45525,728.0993157142857
FARM-00115,Rice,146.19,72.39,9436.13,471.21,528.8527671428571,194.0052,235.605,707.7097499999999,1666.172717142857
FARM-00116,Maize,173.45,86.61,5051.71,292.23,627.4677642857142,232.1148,146.115,378.87825,1384.5758142857142
FARM-00117,Rice,150.25,90.62,9162.32,595.68,543.5401071428572,242.86160000000004,297.84,687.174,1771.4157071428572
FARM-00118,Rice,143.94,71.25,10415.2,396.19,520.7132314285714,190.95000000000002,198.095,781.14,1690.8982314285713
FARM-00119,Wheat,109.26,63.02,3914.76,253.38,395.25585428571435,168.89360000000002,126.69,293.607,984.4464542857143
FARM-00120,Wheat,127.69,,3659.44,201.27,461.92769571428573,,100.635,274.45799999999997,
FARM-00121,Soybean,50.4,47.52,3822.13,195.07,182.3256,127.35360000000001,97.535,286.65975,693.8739499999999
FARM-00122,Wheat,119.32,56.88,4081.25,268.74,431.64862285714287,152.43840000000003,134.37,306.09375,1024.5507728571429
FARM-00123,Soybean,40.25,46.25,4731.69,322.71,145.60725000000002,123.95,161.355,354.87674999999996,785.789
FARM-00124,Soybean,44.95,58.3,3452.43,286.98,162.60983571428574,156.244,143.49,258.93224999999995,721.2760857142857
FARM-00125,Soybean,48.26,54.53,3995.47,244.76,174.58399714285713,146.1404,122.38,299.66024999999996,742.764647142857
FARM-00126,Cotton,131.73,,8300.05,285.31,476.5426842857143,,142.655,622.50375,
FARM-00127,Soybean,47.98,49.54,4172.91,219.46,173.57107714285712,132.7672,109.73,312.96824999999995,729.036527142857
FARM-00128,Rice,171.86,102.55,9371.88,,621.7158257142859,274.834,,702.891,
FARM-00129,Sugarcane,216.13,111.13,18486.35,611.39,781.8657128571429,297.8284,305.695,1386.47625,2771.865362857143
FARM-00130,Wheat,136.9,47.15,4112.75,230.7,495.2455285714286,126.36200000000001,115.35,308.45625,1045.4137785714286
FARM-00131,Sugarcane,227.85,109.66,16589.99,559.77,824.2636500000001,293.8888,279.885,1244.24925,2642.2867
FARM-00132,Sugarcane,238.9,109.13,17275.6,,864.2378142857143,292.46840000000003,,1295.6699999999998,
FARM-00133,Soybean,38.5,59.31,,195.62,139.2765,158.95080000000002,97.81,,
FARM-00134,Sugarcane,205.0,109.41,16448.73,665.02,741.6021428571428,293.2188,332.51,1233.65475,2600.9856928571426
FARM-00135,Wheat,130.93,64.05,3142.17,291.95,473.6486271428572,171.654,145.975,235.66275,1026.9403771428572
FARM-00136,Soybean,39.98,50.48,4678.96,204.0,144.6305057142857,135.2864,102.0,350.92199999999997,732.8389057142856
FARM-00137,Soybean,37.58,56.57,3847.98,254.11,135.94833428571428,151.60760000000002,127.055,288.5985,703.2094342857143
FARM-00138,Rice,167.88,72.71,8710.59,474.99,607.3178914285714,194.8628,237.495,653.29425,1692.9699414285715
FARM-00139,Rice,172.35,84.89,10502.76,527.31,623.4884357142859,227.5052,263.655,787.707,1902.3556357142857
FARM-00140,Wheat,114.51,75.53,4661.74,233.95,414.24810428571436,202.42040000000003,116.975,349.6305,1083.2740042857145
FARM-00141,Maize,214.28,78.96,4306.44,390.64,775.1732057142858,211.6128,195.32,322.98299999999995,1505.0890057142858
FARM-00142,Rice,472.4202160075733,83.6,9455.23,500.04,1709.0138757085397,224.048,250.02,709.14225,2892.2241257085398
FARM-00143,Soybean,30.56,53.9,4150.64,219.91,110.55298285714287,144.452,109.955,311.298,676.2579828571429
FARM-00144,Cotton,155.88,77.28,7925.28,418.68,563.9070342857144,207.11040000000003,209.34,594.396,1574.7534342857143
FARM-00145,Wheat,142.91,59.64,4370.44,213.16,516.9871328571429,159.83520000000001,106.58,327.78299999999996,1111.1853328571428
FARM-00146,Rice,155.64,83.91,9920.27,458.1,563.038817142857,224.8788,229.05,744.02025,1760.987867142857
FARM-00147,Maize,181.72,86.62,4841.08,321.44,657.38508,232.14160000000004,160.72,363.08099999999996,1413.3276799999999
FARM-00148,Wheat,124.58,59.49,3339.89,268.17,450.6770485714286,159.43320000000003,134.085,250.49174999999997,994.6869985714286
FARM-00149,Rice,166.85,71.09,10941.59,333.03,603.5917928571429,190.52120000000002,166.515,820.61925,1781.2472428571427
FARM-00150,Sugarcane,193.86,77.2,17449.35,392.07,701.3023971428573,206.89600000000002,196.035,1308.7012499999998,2412.934647142857
FARM-00151,Maize,204.38,72.81,5218.91,318.29,739.3592485714287,195.13080000000002,159.145,391.41825,1485.0532985714287
FARM-00152,Cotton,135.59,86.8,7069.04,438.86,490.50651000000005,232.624,219.43,530.178,1472.7385100000001
FARM-00153,Rice,176.47,99.46,10565.86,646.16,638.3928300000001,266.5528,323.08,792.4395000000001,2020.46513
FARM-00154,Wheat,114.63,49.24,4587.31,219.29,414.6822128571428,131.9632,109.645,344.04825,1000.3386628571427
FARM-00155,Sugarcane,203.8,69.22,17630.27,381.32,737.2610571428572,185.5096,190.66,1322.27025,2435.7009071428574
FARM-00156,Maize,200.74,40.99,4666.83,213.52,726.1912885714286,109.85320000000002,106.76,350.01225,1292.8167385714287
FARM-00157,Wheat,114.19,45.63,3897.93,185.33,413.0904814285715,122.28840000000001,92.665,292.34475,920.3886314285714
FARM-00158,Sugarcane,206.55,99.84,16935.74,484.26,747.2093785714286,267.57120000000003,242.13,1270.1805000000002,2527.0910785714286
FARM-00159,Rice,155.42,270.84902073717933,9397.73,463.44,562.2429514285715,725.8753755756406,231.72,704.82975,2224.668077004212
FARM-00160,Wheat,102.36,60.47,3789.43,266.73,370.29461142857144,162.05960000000002,133.365,284.20725,949.9264614285714
FARM-00161,Soybean,36.58,61.45,4240.4,212.64,132.33076285714284,164.686,106.32,318.03,721.3667628571428
FARM-00162,Wheat,115.58,57.35,4124.3,189.67,418.1189057142857,153.698,94.835,309.3225,975.9744057142857
FARM-00163,Rice,176.3,81.3,9715.59,373.6,637.777842857143,217.88400000000001,186.8,728.66925,1771.131092857143
FARM-00164,Maize,188.98,61.93,5188.91,224.51,683.6486485714286,165.97240000000002,112.255,389.16825,1351.0442985714285
FARM-00165,Cotton,138.74,65.07,7393.3,389.91,501.90186000000006,174.3876,194.955,554.4975,1425.74196
FARM-00166,Sugarcane,211.95,99.65,16306.33,548.89,766.7442642857143,267.062,274.445,1222.9747499999999,2531.226014285714
FARM-00167,Wheat,111.76,55.61,4277.29,269.76,404.29978285714293,149.03480000000002,134.88,320.79675,1009.011332857143
FARM-00168,Rice,173.94,74.82,8870.13,428.15,629.2403742857143,200.5176,214.075,665.2597499999999,1709.0927242857142
FARM-00169,Soybean,37.52,56.37,3905.19,197.73,135.73128000000003,151.0716,98.865,292.88925,678.55713
FARM-00170,Soybean,36.71,56.36,4030.72,232.56,132.80104714285716,151.0448,116.28,302.304,702.4298471428572
FARM-00171,Rice,155.24,105.6,8064.42,555.74,561.5917885714287,283.008,277.87,604.8315,1727.3012885714286
FARM-00172,Wheat,116.79,51.46,,194.82,422.4961671428572,137.9128,97.41,,
FARM-00173,Rice,155.47,90.53,10833.88,524.71,562.42383,242.62040000000002,262.355,812.5409999999999,1879.94023
FARM-00174,Soybean,59.43,61.29,3728.74,,214.99227000000002,164.2572,,279.65549999999996,
FARM-00175,Cotton,164.2,43.16,7226.07,210.83,594.0052285714285,115.6688,105.415,541.95525,1357.0442785714285
FARM-00176,Sugarcane,209.84,89.17,18219.41,501.0,759.1111885714287,238.97560000000001,250.5,1366.4557499999999,2615.042538571429
FARM-00177,Sugarcane,197.45,76.71,18035.64,374.14,714.2894785714286,205.5828,187.07,1352.673,2459.6152785714285
FARM-00178,Cotton,,226.98212791806017,8394.43,378.77,,608.3121028204013,189.385,629.58225,
FARM-00179,Maize,194.01,76.91,4704.68,330.83,701.845032857143,206.1188,165.415,352.851,1426.2298328571428
FARM-00180,Cotton,153.99,43.95,6985.03,214.57,557.0698242857143,117.78600000000002,107.285,523.87725,1306.0180742857142
FARM-00181,Rice,122.69,71.13,9333.77,440.66,443.8398385714286,190.6284,220.33,700.03275,1554.8309885714286
FARM-00182,Sugarcane,222.94,111.14,19264.46,724.61,806.5013742857143,297.8552,362.305,1444.8345,2911.4960742857143
FARM-00183,Sugarcane,213.18,95.45,16923.17,479.13,771.1938771428572,255.806,239.565,1269.2377499999998,2535.802627142857
FARM-00184,Soybean,43.89,53.04,3648.64,289.95,158.77521000000002,142.1472,144.975,273.64799999999997,719.54541
FARM-00185,Cotton,136.75,66.35,8378.78,378.96,494.70289285714284,177.81799999999998,189.48,628.4085,1490.4093928571428
FARM-00186,Maize,207.34,67.04,4948.2,186.12,750.06726,179.66720000000004,93.06,371.11499999999995,1393.90946
FARM-00187,Soybean,47.51,,4495.53,185.84,171.8708185714286,,92.92,337.16474999999997,
FARM-00188,Maize,152.6,66.14,4790.45,277.14,552.0414000000001,177.2552,138.57,359.28375,1227.1503500000001
FARM-00189,Soybean,55.29,60.48,3427.22,302.87,200.0155242857143,162.0864,151.435,257.0415,770.5784242857144
FARM-00190,Wheat,147.99,47.59,4435.33,185.73,535.3643957142857,127.54120000000002,92.865,332.64975,1088.4203457142858
FARM-00191,Wheat,135.45,38.88,3438.35,196.02,490.00005,104.1984,98.01,257.87624999999997,950.0846999999999
FARM-00192,Soybean,39.72,29.33,3207.46,188.3,143.68993714285716,78.6044,94.15,240.55949999999999,557.0038371428572
FARM-00193,Maize,203.79,,5262.11,309.32,737.2248814285715,,154.66,394.65824999999995,
FARM-00194,Cotton,145.8,52.22,7251.8,336.57,527.4419142857145,139.9496,168.285,543.885,1379.5615142857146
FARM-00195,Maize,182.26,56.26,4787.4,221.49,659.3385685714286,150.7768,110.745,359.05499999999995,1279.9153685714286
FARM-00196,Wheat,126.26,47.58,3518.01,227.1,456.75456857142865,127.51440000000001,113.55,263.85075,961.6697185714286
FARM-00197,Cotton,154.45,54.66,6856.37,289.47,558.7339071428571,146.4888,144.735,514.22775,1364.185457142857
FARM-00198,Cotton,173.32,76.08,8796.45,288.48,626.99748,203.89440000000002,144.24,659.73375,1634.86563
FARM-00199,Sugarcane,226.54,109.23,16974.17,509.64,819.5246314285714,292.7364,254.82,1273.0627499999998,2640.143781428571
FARM-00200,Wheat,138.21,58.36,3508.55,263.44,499.9845471428572,156.4048,131.72,263.14125,1051.2505971428573
FARM-00201,Maize,186.98,89.52,4506.34,418.06,676.4135057142857,239.9136,209.03,337.9755,1463.3326057142858
FARM-00202,Sugarcane,225.22,76.3,15576.62,382.72,814.7494371428572,204.484,191.36,1168.2465,2378.8399371428573
FARM-00203,Soybean,37.47,65.87,3990.26,256.62,135.55040142857143,176.53160000000003,128.31,299.2695,739.6615014285715
FARM-00204,Cotton,161.71,63.81,6842.98,310.06,584.9974757142857,171.01080000000002,155.03,513.2235,1424.2617757142857
FARM-00205,Maize,174.1,73.38,4646.87,280.31,629.8191857142857,196.6584,140.155,348.51525,1315.1478357142857
FARM-00206,Cotton,150.37,57.34,7455.37,255.26,543.9742157142858,153.67120000000003,127.63,559.15275,1384.4281657142858
FARM-00207,Sugarcane,206.26,91.35,16190.15,607.43,746.1602828571429,244.818,303.715,1214.26125,2508.954532857143
FARM-00208,Wheat,109.56,54.38,4445.11,192.03,396.3411257142858,145.7384,96.015,333.38325,971.4777757142858
FARM-00209,Soybean,51.14,65.18,4133.8,256.79,185.00260285714288,174.68240000000003,128.395,310.035,798.1150028571428
FARM-00210,Rice,153.28,114.5,9108.27,596.22,554.5013485714287,306.86,298.11,683.12025,1842.5915985714287
FARM-00211,Sugarcane,201.73,102.02,19310.27,,729.7726842857144,273.41360000000003,,1448.27025,
FARM-00212,Rice,417.5897631915419,99.46,10369.91,454.15,1510.660796185631,266.5528,227.075,777.74325,2782.031846185631
FARM-00213,Rice,161.73,91.64,11599.79,473.01,585.0698271428571,245.5952,236.505,869.9842500000001,1937.1542771428572
FARM-00214,Maize,175.43,107.57,4327.47,387.42,634.6305557142857,288.2876,193.71,324.56025,1441.1884057142856
FARM-00215,Soybean,53.35,49.02,4346.41,212.32,192.99743571428573,131.3736,106.16,325.98075,756.5117857142857
FARM-00216,Maize,174.91,68.0,,267.84,632.7494185714286,182.24,133.92,,
FARM-00217,Maize,172.11,52.21,5476.06,226.62,622.6202185714287,139.92280000000002,113.31,410.7045,1286.5575185714288
FARM-00218,Sugarcane,212.26,140.42,18478.95,,767.8657114285714,376.3256,,1385.92125,
FARM-00219,Sugarcane,219.77,115.71,19101.01,543.24,795.033672857143,310.1028,271.62,1432.5757499999997,2809.3322228571424
FARM-00220,Soybean,43.11,59.55,3902.56,201.41,155.9535042857143,159.594,100.705,292.692,708.9445042857143
FARM-00221,Cotton,158.38,83.73,8092.42,486.49,572.9509628571428,224.39640000000003,243.245,606.9315,1647.5238628571428
FARM-00222,Rice,167.65,66.93,10525.89,425.64,606.48585,179.37240000000003,212.82,789.44175,1788.12
FARM-00223,Cotton,173.99,53.86,7849.67,318.56,629.421252857143,144.34480000000002,159.28,588.72525,1521.771302857143
FARM-00224,Soybean,41.77,77.35,4155.67,316.37,151.1059585714286,207.298,158.185,311.67525,828.2642085714285
FARM-00225,Maize,,72.09,4850.07,292.61,,193.20120000000003,146.305,363.75525,
FARM-00226,Maize,200.69,76.12,5081.19,332.78,726.0104100000001,204.00160000000002,166.39,381.08924999999994,1477.4912600000002
FARM-00227,Wheat,142.14,46.47,3717.36,209.59,514.2016028571428,124.53960000000001,104.795,278.802,1022.3382028571427
FARM-00228,Soybean,44.75,57.18,4138.64,225.61,161.88632142857142,153.2424,112.805,310.398,738.3317214285714
FARM-00229,Maize,196.9,61.49,4782.18,308.1,712.2998142857143,164.7932,154.05,358.6635,1389.8065142857145
FARM-00230,Rice,170.14,68.27,9843.86,380.76,615.4936028571428,182.9636,190.38,738.2895,1727.1267028571428
