farm_id,crop_type,fertilizer_usage_kg_per_ha,fuel_consumption_liters_per_ha,water_consumption_m3_per_ha,electricity_consumption_kwh_per_ha
FARM-00036,Rice,126.39,86.86,11582.43,510.96
FARM-00037,Soybean,148.67240992536293,58.22,3558.74,309.67
FARM-00038,Maize,188.89,70.22,5031.17,308.73
FARM-00039,Cotton,152.69,41.54,6831.33,257.07
FARM-00040,Maize,207.65,86.71,5246.62,301.48
FARM-00041,Maize,181.42,58.36,4956.13,298.6
FARM-00042,Rice,154.51,94.7,9510.29,
FARM-00043,Rice,154.33,68.9,11281.9,324.66
FARM-00044,Soybean,46.02,85.5,4335.36,320.76
FARM-00045,Sugarcane,200.31,75.42,15680.29,401.51
FARM-00046,Soybean,44.07,61.99,3574.36,238.99
FARM-00047,Cotton,148.4,57.8,8318.36,305.61
FARM-00048,Soybean,41.97,50.4,3146.29,278.48
FARM-00049,Wheat,139.03,44.2,3523.83,203.82
FARM-00050,Rice,160.28,95.91,9634.9,467.08
FARM-00051,Rice,170.73,90.18,10557.14,446.07
FARM-00052,Rice,136.99,85.48,9678.6,546.74
FARM-00053,Rice,127.33,83.39,11150.51,500.71
FARM-00054,Soybean,54.14,,3501.86,249.35
FARM-00055,Soybean,45.09,51.72,3922.61,264.58
FARM-00056,Sugarcane,243.73,100.55,17249.23,561.22
FARM-00057,Soybean,41.11,60.22,4951.5,334.41
FARM-00058,Soybean,36.13,67.58,4705.74,320.07
FARM-00059,Wheat,128.89,53.13,4038.27,233.43
FARM-00060,Sugarcane,196.04,103.73,17163.2,544.24
FARM-00061,Sugarcane,219.89,,17429.46,355.25
FARM-00062,Maize,493.02829066311904,92.88,4914.14,386.55
FARM-00063,Cotton,124.15,53.68,7889.62,197.94
FARM-00064,Sugarcane,200.92,87.75,15146.52,615.55
FARM-00065,Wheat,120.96,49.07,4399.58,214.86
FARM-00066,Soybean,46.94,39.7,3645.58,164.73
FARM-00067,Soybean,31.33,50.07,4630.36,276.58
FARM-00068,Soybean,35.61,73.71,3742.33,231.19
FARM-00069,Wheat,130.09,50.43,3479.64,175.24
FARM-00070,Rice,154.19,54.02,11572.85,365.25
FARM-00071,Soybean,46.26,57.5,,223.37
FARM-00072,Sugarcane,210.1,111.31,17483.57,485.52
FARM-00073,Maize,193.62,62.32,5120.71,327.75
FARM-00074,Maize,170.02,78.05,5698.23,410.69
FARM-00075,Sugarcane,189.99,139.87,17315.46,782.68
FARM-00076,Wheat,123.74,55.5,3920.47,281.99
FARM-00077,Rice,140.64,75.42,8987.8,485.86
FARM-00078,Rice,156.75,52.56,10382.23,298.36
FARM-00079,Maize,187.19,60.32,5251.05,272.51
FARM-00080,Rice,143.79,63.99,10548.31,367.64
FARM-00081,Sugarcane,213.54,87.34,18913.62,470.23
FARM-00082,Sugarcane,184.97,69.72,15993.12,549.48
FARM-00083,Sugarcane,231.96,80.47,17314.36,507.5
FARM-00084,Rice,153.03,89.82,10398.82,438.7
FARM-00085,Rice,167.07,99.95,9718.77,579.64
FARM-00086,Cotton,146.59,74.56,,392.63
FARM-00087,Rice,135.96,94.37,9933.88,
FARM-00088,Soybean,48.77,68.71,3545.01,209.17
FARM-00089,Soybean,46.0,45.06,4462.1,206.05
FARM-00090,Maize,177.69,59.17,5083.74,238.11
FARM-00091,Maize,198.39,83.46,4900.08,292.41
FARM-00092,Maize,208.95,56.55,4667.6,298.03
FARM-00093,Cotton,149.77,74.0,7168.55,383.56
FARM-00094,Rice,141.9,72.64,8648.54,531.89
FARM-00095,Rice,176.91,83.11,10697.06,410.39
FARM-00096,Sugarcane,222.45,331.1774357642411,16629.91,435.38
FARM-00097,Wheat,139.42,46.77,3565.44,223.72
FARM-00098,Wheat,114.18,54.64,3969.01,237.32
FARM-00099,Rice,147.22,63.05,10577.54,
FARM-00100,Rice,166.13,97.92,10063.85,499.75
FARM-00101,Maize,191.89,73.83,4368.8,331.25
FARM-00102,Wheat,136.19,43.36,3648.08,169.35
FARM-00103,Cotton,145.0,82.73,7804.87,436.9
FARM-00104,Soybean,40.58,65.22,4032.21,294.73
FARM-00105,Wheat,129.84,51.27,3985.87,161.41
FARM-00106,Sugarcane,220.51,112.68,17308.56,698.45
FARM-00107,Maize,180.31,44.24,4707.12,221.21
FARM-00108,Soybean,49.81,54.0,3107.81,198.08
FARM-00109,Wheat,106.88,54.1,4219.77,235.11
FARM-00110,Maize,,55.97,4676.12,334.9
FARM-00111,Maize,189.37,64.67,5184.62,273.87
FARM-00112,Cotton,139.74,62.3,7071.68,335.42
FARM-00113,Maize,182.4,62.31,5188.49,343.32
FARM-00114,Soybean,45.02,49.2,4406.07,205.85
FARM-00115,Rice,146.19,72.39,9436.13,471.21
FARM-00116,Maize,173.45,86.61,5051.71,292.23
FARM-00117,Rice,150.25,90.62,9162.32,595.68
FARM-00118,Rice,143.94,71.25,10415.2,396.19
FARM-00119,Wheat,109.26,63.02,3914.76,253.38
FARM-00120,Wheat,127.69,,3659.44,201.27
FARM-00121,Soybean,50.4,47.52,3822.13,195.07
FARM-00122,Wheat,119.32,56.88,4081.25,268.74
FARM-00123,Soybean,40.25,46.25,4731.69,322.71
FARM-00124,Soybean,44.95,58.3,3452.43,286.98
FARM-00125,Soybean,48.26,54.53,3995.47,244.76
FARM-00126,Cotton,131.73,,8300.05,285.31
FARM-00127,Soybean,47.98,49.54,4172.91,219.46
FARM-00128,Rice,171.86,102.55,9371.88,
FARM-00129,Sugarcane,216.13,111.13,18486.35,611.39
FARM-00130,Wheat,136.9,47.15,4112.75,230.7
FARM-00131,Sugarcane,227.85,109.66,16589.99,559.77
FARM-00132,Sugarcane,238.9,109.13,17275.6,
FARM-00133,Soybean,38.5,59.31,,195.62
FARM-00134,Sugarcane,205.0,109.41,16448.73,665.02
FARM-00135,Wheat,130.93,64.05,3142.17,291.95
FARM-00136,Soybean,39.98,50.48,4678.96,204.0
FARM-00137,Soybean,37.58,56.57,3847.98,254.11
FARM-00138,Rice,167.88,72.71,8710.59,474.99
FARM-00139,Rice,172.35,84.89,10502.76,527.31
FARM-00140,Wheat,114.51,75.53,4661.74,233.95
FARM-00141,Maize,214.28,78.96,4306.44,390.64
FARM-00142,Rice,472.4202160075733,83.6,9455.23,500.04
FARM-00143,Soybean,30.56,53.9,4150.64,219.91
FARM-00144,Cotton,155.88,77.28,7925.28,418.68
FARM-00145,Wheat,142.91,59.64,4370.44,213.16
FARM-00146,Rice,155.64,83.91,9920.27,458.1
FARM-00147,Maize,181.72,86.62,4841.08,321.44
FARM-00148,Wheat,124.58,59.49,3339.89,268.17
FARM-00149,Rice,166.85,71.09,10941.59,333.03
FARM-00150,Sugarcane,193.86,77.2,17449.35,392.07
FARM-00151,Maize,204.38,72.81,5218.91,318.29
FARM-00152,Cotton,135.59,86.8,7069.04,438.86
FARM-00153,Rice,176.47,99.46,10565.86,646.16
FARM-00154,Wheat,114.63,49.24,4587.31,219.29
FARM-00155,Sugarcane,203.8,69.22,17630.27,381.32
FARM-00156,Maize,200.74,40.99,4666.83,213.52
FARM-00157,Wheat,114.19,45.63,3897.93,185.33
FARM-00158,Sugarcane,206.55,99.84,16935.74,484.26
FARM-00159,Rice,155.42,270.84902073717933,9397.73,463.44
FARM-00160,Wheat,102.36,60.47,3789.43,266.73
FARM-00161,Soybean,36.58,61.45,4240.4,212.64
FARM-00162,Wheat,115.58,57.35,4124.3,189.67
FARM-00163,Rice,176.3,81.3,9715.59,373.6
FARM-00164,Maize,188.98,61.93,5188.91,224.51
FARM-00165,Cotton,138.74,65.07,7393.3,389.91
FARM-00166,Sugarcane,211.95,99.65,16306.33,548.89
FARM-00167,Wheat,111.76,55.61,4277.29,269.76
FARM-00168,Rice,173.94,74.82,8870.13,428.15
FARM-00169,Soybean,37.52,56.37,3905.19,197.73
FARM-00170,Soybean,36.71,56.36,4030.72,232.56
FARM-00171,Rice,155.24,105.6,8064.42,555.74
FARM-00172,Wheat,116.79,51.46,,194.82
FARM-00173,Rice,155.47,90.53,10833.88,524.71
FARM-00174,Soybean,59.43,61.29,3728.74,
FARM-00175,Cotton,164.2,43.16,7226.07,210.83
FARM-00176,Sugarcane,209.84,89.17,18219.41,501.0
FARM-00177,Sugarcane,197.45,76.71,18035.64,374.14
FARM-00178,Cotton,,226.98212791806017,8394.43,378.77
FARM-00179,Maize,194.01,76.91,4704.68,330.83
FARM-00180,Cotton,153.99,43.95,6985.03,214.57
FARM-00181,Rice,122.69,71.13,9333.77,440.66
FARM-00182,Sugarcane,222.94,111.14,19264.46,724.61
FARM-00183,Sugarcane,213.18,95.45,16923.17,479.13
FARM-00184,Soybean,43.89,53.04,3648.64,289.95
FARM-00185,Cotton,136.75,66.35,8378.78,378.96
FARM-00186,Maize,207.34,67.04,4948.2,186.12
FARM-00187,Soybean,47.51,,4495.53,185.84
FARM-00188,Maize,152.6,66.14,4790.45,277.14
FARM-00189,Soybean,55.29,60.48,3427.22,302.87
FARM-00190,Wheat,147.99,47.59,4435.33,185.73
FARM-00191,Wheat,135.45,38.88,3438.35,196.02
FARM-00192,Soybean,39.72,29.33,3207.46,188.3
FARM-00193,Maize,203.79,,5262.11,309.32
FARM-00194,Cotton,145.8,52.22,7251.8,336.57
FARM-00195,Maize,182.26,56.26,4787.4,221.49
FARM-00196,Wheat,126.26,47.58,3518.01,227.1
FARM-00197,Cotton,154.45,54.66,6856.37,289.47
FARM-00198,Cotton,173.32,76.08,8796.45,288.48
FARM-00199,Sugarcane,226.54,109.23,16974.17,509.64
FARM-00200,Wheat,138.21,58.36,3508.55,263.44
FARM-00201,Maize,186.98,89.52,4506.34,418.06
FARM-00202,Sugarcane,225.22,76.3,15576.62,382.72
FARM-00203,Soybean,37.47,65.87,3990.26,256.62
FARM-00204,Cotton,161.71,63.81,6842.98,310.06
FARM-00205,Maize,174.1,73.38,4646.87,280.31
FARM-00206,Cotton,150.37,57.34,7455.37,255.26
FARM-00207,Sugarcane,206.26,91.35,16190.15,607.43
FARM-00208,Wheat,109.56,54.38,4445.11,192.03
FARM-00209,Soybean,51.14,65.18,4133.8,256.79
FARM-00210,Rice,153.28,114.5,9108.27,596.22
FARM-00211,Sugarcane,201.73,102.02,19310.27,
FARM-00212,Rice,417.5897631915419,99.46,10369.91,454.15
FARM-00213,Rice,161.73,91.64,11599.79,473.01
FARM-00214,Maize,175.43,107.57,4327.47,387.42
FARM-00215,Soybean,53.35,49.02,4346.41,212.32
FARM-00216,Maize,174.91,68.0,,267.84
FARM-00217,Maize,172.11,52.21,5476.06,226.62
FARM-00218,Sugarcane,212.26,140.42,18478.95,
FARM-00219,Sugarcane,219.77,115.71,19101.01,543.24
FARM-00220,Soybean,43.11,59.55,3902.56,201.41
FARM-00221,Cotton,158.38,83.73,8092.42,486.49
FARM-00222,Rice,167.65,66.93,10525.89,425.64
FARM-00223,Cotton,173.99,53.86,7849.67,318.56
FARM-00224,Soybean,41.77,77.35,4155.67,316.37
FARM-00225,Maize,,72.09,4850.07,292.61
FARM-00226,Maize,200.69,76.12,5081.19,332.78
FARM-00227,Wheat,142.14,46.47,3717.36,209.59
FARM-00228,Soybean,44.75,57.18,4138.64,225.61
FARM-00229,Maize,196.9,61.49,4782.18,308.1
FARM-00230,Rice,170.14,68.27,9843.86,380.76
FARM-00231,Wheat,,58.54,3779.69,342.96
FARM-00232,Maize,168.73,64.88,4580.14,332.82
FARM-00233,Soybean,45.56,76.85,4802.62,302.23
FARM-00234,Soybean,47.66,59.36,3621.93,256.18
FARM-00235,Rice,174.9,73.59,10766.92,500.18
FARM-00236,Sugarcane,219.42,80.8,,514.86
FARM-00237,Wheat,102.76,53.13,4341.0,207.65
FARM-00238,Soybean,50.71,64.26,3915.37,282.79
FARM-00239,Soybean,43.81,56.69,3981.53,158.05
FARM-00240,Cotton,154.25,70.88,7442.59,363.63
FARM-00241,Sugarcane,220.69,109.54,15372.76,478.47
FARM-00242,Rice,163.49,57.51,9626.57,369.21
FARM-00243,Maize,178.36,87.45,5373.84,353.92
FARM-00244,Rice,149.26,84.91,9807.0,580.87
FARM-00245,Cotton,167.69,70.04,7348.58,364.0
FARM-00246,Sugarcane,210.46,126.86,15286.76,566.82
FARM-00247,Rice,156.29,79.01,9570.56,470.99
FARM-00248,Maize,199.46,71.06,4630.9,306.18
FARM-00249,Soybean,42.65,45.85,4057.29,168.35
FARM-00250,Maize,187.78,55.85,5228.73,270.12
FARM-00251,Maize,189.14,55.71,4702.25,228.07
FARM-00252,Cotton,127.46,42.86,6745.73,308.5
FARM-00253,Maize,173.39,44.17,4609.18,243.74
FARM-00254,Wheat,130.3,60.44,3360.77,266.38
FARM-00255,Wheat,111.31,72.8,3943.03,248.98
FARM-00256,Cotton,143.23,39.6,7423.3,217.41
FARM-00257,Rice,136.09,74.7,11359.04,484.06
FARM-00258,Wheat,132.67,,4332.76,227.75
FARM-00259,Cotton,157.99,60.14,7504.2,376.72
FARM-00260,Rice,134.12,71.16,8757.88,437.35
FARM-00261,Wheat,121.32,58.66,4008.0,211.54
FARM-00262,Wheat,106.25,39.24,3948.45,160.52
FARM-00263,Rice,151.12,95.18,10244.41,497.32
FARM-00264,Rice,134.02,69.33,9038.04,423.59
FARM-00265,Rice,143.63,89.04,10543.22,436.9
FARM-00266,Maize,191.22,47.34,4920.87,183.26
FARM-00267,Cotton,159.7,69.84,8867.25,420.3
FARM-00268,Sugarcane,206.81,76.49,17254.4,448.04
FARM-00269,Sugarcane,223.32,75.21,16449.21,401.36
FARM-00270,Cotton,170.58,77.39,8166.07,385.19
FARM-00271,Rice,154.99,102.59,11015.17,536.9
FARM-00272,Maize,176.16,62.62,5049.09,224.48
FARM-00273,Cotton,155.02,75.0,7996.01,332.91
FARM-00274,Sugarcane,230.51,105.27,17324.48,436.13
FARM-00275,Rice,156.75,66.99,9639.83,544.03
FARM-00276,Wheat,110.0,41.35,3296.55,193.26
FARM-00277,Cotton,147.92,77.2,7924.24,426.66
FARM-00278,Rice,143.97,81.0,9602.12,515.31
FARM-00279,Cotton,151.94,81.87,8387.42,465.24
FARM-00280,Rice,133.84,87.04,10969.67,572.02
FARM-00281,Soybean,36.47,68.03,4597.95,301.3
FARM-00282,Wheat,137.25,55.14,4369.25,228.24
FARM-00283,Maize,200.52,50.98,5705.07,205.3
FARM-00284,Wheat,131.34,61.92,4501.45,231.01
FARM-00285,Maize,177.67,73.83,4920.09,323.14
FARM-00286,Rice,,89.86,8411.4,551.91
FARM-00287,Wheat,114.58,59.93,3542.52,320.18
FARM-00288,Sugarcane,234.91,62.96,15964.35,365.3
FARM-00289,Cotton,155.98,47.12,6958.77,253.86
FARM-00290,Soybean,51.92,,4207.05,169.18
FARM-00291,Sugarcane,209.64,87.04,18266.48,471.16
FARM-00292,Sugarcane,233.59,84.44,50676.70062645443,565.62
FARM-00293,Rice,143.72,87.71,11337.57,456.83
FARM-00294,Wheat,118.53,47.0,3276.5,285.21
FARM-00295,Soybean,46.0,45.77,4239.16,666.292093343198
FARM-00296,Cotton,160.01,49.92,8043.61,281.46
FARM-00297,Sugarcane,224.77,344.0032187044253,17974.54,431.96
FARM-00298,Rice,146.85,99.94,11322.17,469.61
FARM-00299,Sugarcane,196.76,99.16,17780.33,463.15
FARM-00300,Maize,176.88,80.89,5228.11,262.93
FARM-00301,Wheat,111.34,34.58,4123.94,172.53
FARM-00302,Wheat,122.53,61.59,4397.5,251.02
FARM-00303,Cotton,154.89,59.64,6845.13,323.61
FARM-00304,Rice,137.87,77.93,9660.46,599.88
FARM-00305,Cotton,165.06,70.91,6794.06,261.04
FARM-00306,Maize,186.64,73.74,4855.63,356.87
FARM-00307,Cotton,134.33,52.59,7449.43,253.99
FARM-00308,Maize,172.93,53.39,4372.23,295.52
FARM-00309,Cotton,169.49,70.39,8374.99,357.99
FARM-00310,Wheat,137.06,59.36,3348.85,197.79
FARM-00311,Soybean,44.1,61.18,4624.68,261.77
FARM-00312,Wheat,125.45,42.3,,160.74
FARM-00313,Wheat,113.97,43.76,4001.72,199.27
FARM-00314,Rice,134.65,80.28,8926.55,389.92
FARM-00315,Cotton,134.49,75.63,7846.25,474.08
FARM-00316,Wheat,121.93,48.25,4028.21,209.85
FARM-00317,Rice,152.54,70.94,8872.69,294.63
FARM-00318,Wheat,113.66,62.2,3677.84,268.59
FARM-00319,Maize,179.06,76.12,4344.95,298.34
FARM-00320,Wheat,115.93,61.05,3868.24,236.24
FARM-00321,Wheat,119.3,66.29,3753.75,201.87
FARM-00322,Cotton,146.03,63.99,8641.6,273.19
FARM-00323,Wheat,117.5,74.71,4292.87,271.01
FARM-00324,Sugarcane,242.2,79.96,18130.93,445.91
FARM-00325,Soybean,55.82,57.41,3953.33,192.23
FARM-00326,Sugarcane,219.89,113.98,17592.04,522.26
FARM-00327,Rice,139.07,63.67,10801.69,358.97
FARM-00328,Wheat,122.75,39.9,3902.5,200.59
FARM-00329,Sugarcane,206.83,105.26,16809.97,494.42
FARM-00330,Sugarcane,238.12,80.88,16488.34,456.72
FARM-00331,Sugarcane,222.81,103.97,17110.09,493.14
FARM-00332,Maize,210.2,87.28,4533.02,432.7
FARM-00333,Cotton,151.86,55.75,7477.87,245.93
FARM-00334,Soybean,52.99,53.72,4220.95,180.11
FARM-00335,Cotton,155.89,63.86,7019.23,464.83
FARM-00336,Wheat,120.18,46.09,3557.7,200.3
FARM-00337,Wheat,128.23,43.64,4102.94,173.43
FARM-00338,Rice,143.89,65.29,37851.475457097724,493.45
FARM-00339,Sugarcane,224.97,149.74,18479.63,595.94
FARM-00340,Sugarcane,215.11,111.33,51774.37484246805,609.33
FARM-00341,Rice,165.7,92.09,11438.48,563.73
FARM-00342,Wheat,130.21,55.88,3173.06,214.09
FARM-00343,Rice,153.23,83.73,10295.11,526.19
FARM-00344,Rice,160.65,77.02,8866.29,390.07
FARM-00345,Soybean,43.1,62.57,4236.93,219.93
FARM-00346,Maize,182.65,84.92,5368.7,326.63
FARM-00347,Maize,189.39,88.16,5956.48,
FARM-00348,Soybean,46.83,61.39,3722.7,212.16
FARM-00349,Maize,197.4,80.9,5886.77,324.79
FARM-00350,Rice,135.89,,9312.03,455.87
FARM-00351,Cotton,164.09,59.21,7833.49,364.26
FARM-00352,Wheat,129.9,76.52,14959.480524839548,347.49
FARM-00353,Sugarcane,243.39,104.58,19043.35,560.16
FARM-00354,Cotton,156.69,55.55,6935.63,314.17
FARM-00355,Sugarcane,214.73,,19414.9,
FARM-00356,Soybean,51.04,72.76,4699.32,309.31
FARM-00357,Cotton,139.29,57.9,,306.72
FARM-00358,Cotton,167.76,65.88,7466.96,407.23
FARM-00359,Rice,130.72,78.65,10890.07,448.02
FARM-00360,Cotton,158.59,73.81,7313.04,319.39
FARM-00361,Maize,191.01,84.71,5600.06,299.75
FARM-00362,Wheat,127.03,50.31,4534.6,198.13
FARM-00363,Wheat,,42.4,3846.71,146.75
FARM-00364,Maize,174.48,66.32,5717.45,240.49
FARM-00365,Wheat,141.06,44.46,4690.32,146.24
FARM-00366,Cotton,151.35,71.07,7790.8,320.08
FARM-00367,Sugarcane,218.35,103.87,17764.13,461.33
FARM-00368,Wheat,117.66,56.03,3947.28,
FARM-00369,Soybean,49.26,44.37,3784.18,221.83
FARM-00370,Wheat,,53.49,3977.4,276.71
FARM-00371,Maize,213.12,70.1,5020.58,272.77
FARM-00372,Cotton,160.04,46.79,7188.63,275.29
FARM-00373,Soybean,46.36,139.94198920587422,4068.56,243.29
FARM-00374,Rice,158.46,56.87,9228.1,273.1
FARM-00375,Sugarcane,206.94,98.33,16765.86,448.83
FARM-00376,Soybean,47.47,72.44,4752.73,279.65
FARM-00377,Rice,139.4,92.73,9961.88,373.94
FARM-00378,Maize,197.62,44.41,5149.23,188.48
FARM-00379,Soybean,40.82,66.7,3605.51,176.11
FARM-00380,Soybean,53.39,67.97,3845.9,232.27
FARM-00381,Soybean,52.05,32.55,3887.59,174.84
FARM-00382,Maize,186.71,72.12,5580.57,318.74
FARM-00383,Cotton,134.14,70.03,7390.81,357.82
FARM-00384,Cotton,151.22,59.73,7399.59,326.31
FARM-00385,Wheat,119.18,37.21,4596.48,186.98
FARM-00386,Cotton,159.58,46.95,6682.55,291.26
FARM-00387,Cotton,135.34,56.27,7016.44,260.32
FARM-00388,Rice,148.25,69.4,9655.81,578.75
FARM-00389,Soybean,46.99,49.31,4642.44,225.75
FARM-00390,Sugarcane,222.81,95.89,17711.92,531.55
FARM-00391,Cotton,169.21,57.53,7090.8,295.78
FARM-00392,Maize,207.24,95.65,4953.28,413.23
FARM-00393,Cotton,165.52,64.18,8024.35,437.47
FARM-00394,Wheat,119.19,37.48,4742.08,210.56
FARM-00395,Cotton,153.68,68.7,7642.36,305.11
FARM-00396,Wheat,420.7146588705571,48.25,3727.09,187.13
FARM-00397,Soybean,42.84,43.3,3530.83,174.05
FARM-00398,Rice,151.65,81.14,11563.0,358.2
FARM-00399,Soybean,47.55,45.96,3654.68,176.46
FARM-00400,Cotton,141.8,58.43,7502.32,359.34
FARM-00401,Cotton,167.11,94.19,7998.08,448.64
FARM-00402,Maize,180.19,71.72,5292.39,254.58
FARM-00403,Cotton,158.26,49.17,6485.47,273.44
FARM-00404,Maize,173.73,70.12,4892.1,258.17
FARM-00405,Maize,192.45,,5493.99,329.28
FARM-00406,Wheat,127.18,48.17,4361.28,199.08
FARM-00407,Sugarcane,219.34,106.95,16757.26,669.91
FARM-00408,Wheat,133.31,34.02,4167.51,156.71
FARM-00409,Sugarcane,220.72,133.0,17700.82,819.26
FARM-00410,Wheat,126.87,70.84,4362.65,211.56
FARM-00411,Sugarcane,231.73,113.49,17608.1,468.89
FARM-00412,Rice,137.04,65.78,9960.83,453.33
FARM-00413,Soybean,38.14,57.69,4716.45,230.86
FARM-00414,Sugarcane,232.99,91.73,16215.33,498.36
FARM-00415,Wheat,123.17,72.79,3298.19,247.94
FARM-00416,Maize,183.37,60.85,4701.31,322.68
FARM-00417,Wheat,121.13,41.39,3906.81,
FARM-00418,Soybean,,46.5,,176.91
FARM-00419,Soybean,44.91,,4395.24,175.23
FARM-00420,Sugarcane,219.92,64.76,16204.74,315.85
FARM-00421,Cotton,159.79,54.74,7619.16,356.52
FARM-00422,Sugarcane,232.39,95.5,16570.44,534.5
FARM-00423,Rice,135.77,109.07,8848.53,485.24
FARM-00424,Wheat,104.36,49.76,3840.01,258.69
FARM-00425,Rice,155.13,48.87,10463.35,340.56
FARM-00426,Soybean,49.61,47.7,4473.48,247.84
FARM-00427,Maize,201.16,72.26,4800.18,333.98
FARM-00428,Rice,143.79,69.46,10763.78,400.0
FARM-00429,Cotton,166.46,62.29,7795.99,355.31
FARM-00430,Sugarcane,219.6,104.42,17724.21,543.23
FARM-00431,Maize,164.31,68.95,5009.1,254.15
FARM-00432,Maize,188.12,93.97,4965.9,375.21
FARM-00433,Soybean,50.31,65.09,4301.28,252.27
FARM-00434,Wheat,135.03,61.52,3820.89,251.47
FARM-00435,Wheat,121.67,47.18,3823.45,184.47
FARM-00436,Soybean,45.26,57.53,4130.07,249.12
FARM-00437,Rice,137.28,70.93,10783.69,358.26
FARM-00438,Soybean,41.71,51.86,4335.59,209.16
FARM-00439,Rice,140.27,85.43,10163.94,408.25
FARM-00440,Soybean,38.62,54.05,4599.94,179.24
FARM-00441,Rice,124.39,92.27,8747.97,488.41
FARM-00442,Wheat,108.87,53.88,4113.67,265.94
FARM-00443,Rice,170.8,57.84,9273.7,340.94
FARM-00444,Soybean,54.71,61.5,4064.24,179.18
FARM-00445,Sugarcane,216.41,105.13,16769.38,541.0
FARM-00446,Cotton,124.83,82.62,7444.51,429.42
FARM-00447,Rice,166.15,95.87,8975.34,511.54
FARM-00448,Wheat,112.87,79.47,4244.15,211.03
FARM-00449,Sugarcane,226.25,110.99,17242.73,679.77
FARM-00450,Maize,175.31,82.17,4082.0,277.26
FARM-00451,Soybean,53.25,41.67,4470.42,242.44
FARM-00452,Cotton,163.89,51.75,7530.35,297.19
FARM-00453,Wheat,123.68,43.48,3557.49,144.71
FARM-00454,Sugarcane,214.44,88.67,18260.53,501.3
FARM-00455,Maize,177.91,75.61,5236.53,247.86
FARM-00456,Cotton,433.7071832941032,65.22,7806.24,770.5706265814233
FARM-00457,Rice,147.75,102.95,9869.05,575.21
FARM-00458,Sugarcane,227.74,56.0,18361.24,280.0
FARM-00459,Wheat,131.41,55.18,4699.02,235.93
FARM-00460,Rice,152.98,65.12,11836.96,407.58
FARM-00461,Rice,163.63,64.02,10187.45,507.41
FARM-00462,Rice,140.94,91.91,10241.63,479.3
FARM-00463,Sugarcane,198.59,,16429.81,522.66
FARM-00464,Rice,138.8,73.58,9520.75,272.72
FARM-00465,Soybean,49.37,46.72,3634.2,213.43
FARM-00466,Sugarcane,238.44,125.66,17850.8,667.72
FARM-00467,Maize,181.98,42.54,4703.89,196.46
FARM-00468,Wheat,140.77,50.45,4197.36,193.8
FARM-00469,Wheat,118.17,71.27,4292.51,224.91
FARM-00470,Wheat,133.61,45.33,3891.94,194.55
FARM-00471,Sugarcane,203.37,88.21,16886.83,565.21
FARM-00472,Cotton,144.01,78.54,,445.1
FARM-00473,Soybean,55.62,86.8,3782.31,266.52
FARM-00474,Wheat,121.06,45.15,4725.1,198.0
FARM-00475,Maize,172.7,48.69,5625.57,268.97
FARM-00476,Soybean,36.92,66.77,3660.13,307.1
FARM-00477,Sugarcane,227.12,98.84,17852.32,444.43
FARM-00478,Soybean,37.04,58.06,3591.3,203.2
FARM-00479,Wheat,128.84,52.05,3075.78,183.91
FARM-00480,Maize,210.05,59.22,4757.22,316.36
FARM-00481,Wheat,143.62,46.09,4215.04,211.56
